Packet loss rate (in %age),jitter (in ms),delay (in ms),a,effective delay (in ms) ,R (in ms) ,Final R (in ms) ,Mean Opinion Score (MOS)
0.0263,1.943,19.74,1.9,33.4317,92.3642075,92.2984575,4.391159373
0.0263,1.943,19.74,2,33.626,92.35935,92.2936,4.391058077
0.0153,2.094,1,1.5,14.141,92.846475,92.808225,4.401574172
0.0153,2.094,1,1.6,14.3504,92.84124,92.80299,4.401469398
0.0153,2.094,1,1.7,14.5598,92.836005,92.797755,4.401364579
0.0153,2.094,1,1.8,14.7692,92.83077,92.79252,4.401259715
0.0153,2.094,1,1.9,14.9786,92.825535,92.787285,4.401154805
0.0153,2.094,1,2,15.188,92.8203,92.78205,4.40104985
0.0248,4.106,16.761,1.5,32.92,92.377,92.315,4.391504051
0.0248,4.106,16.761,1.6,33.3306,92.366735,92.304735,4.391290223
0.0248,4.106,16.761,1.7,33.7412,92.35647,92.29447,4.391076223
0.0248,4.106,16.761,1.8,34.1518,92.346205,92.284205,4.39086205
0.0248,4.106,16.761,1.9,34.5624,92.33594,92.27394,4.390647705
0.0248,4.106,16.761,2,34.973,92.325675,92.263675,4.390433188
0.0127,3.529,15.272,1.5,30.5655,92.4358625,92.4041125,4.393353077
0.0127,3.529,15.272,1.6,30.9184,92.42704,92.39529,4.393170597
0.0127,3.529,15.272,1.7,31.2713,92.4182175,92.3864675,4.392987989
0.0127,3.529,15.272,1.8,31.6242,92.409395,92.377645,4.392805253
0.0127,3.529,15.272,1.9,31.9771,92.4005725,92.3688225,4.392622389
0.0127,3.529,15.272,2,32.33,92.39175,92.36,4.392439398
0.0079,1.983,19.196,1.5,32.1705,92.3957375,92.3759875,4.392770908
0.0079,1.983,19.196,1.6,32.3688,92.39078,92.37103,4.392668156
0.0079,1.983,19.196,1.7,32.5671,92.3858225,92.3660725,4.392565364
0.0079,1.983,19.196,1.8,32.7654,92.380865,92.361115,4.392462532
0.0079,1.983,19.196,1.9,32.9637,92.3759075,92.3561575,4.392359659
0.0079,1.983,19.196,2,33.162,92.37095,92.3512,4.392256747
0.0214,2.931,16.834,1.5,31.2305,92.4192375,92.3657375,4.392558417
0.0214,2.931,16.834,1.6,31.5236,92.41191,92.35841,4.392406406
0.0214,2.931,16.834,1.7,31.8167,92.4045825,92.3510825,4.392254307
0.0214,2.931,16.834,1.8,32.1098,92.397255,92.343755,4.39210212
0.0214,2.931,16.834,1.9,32.4029,92.3899275,92.3364275,4.391949846
0.0214,2.931,16.834,2,32.696,92.3826,92.3291,4.391797483
0.0108,4.022,3.562,1.5,19.595,92.710125,92.683125,4.399057996
0.0108,4.022,3.562,1.6,19.9972,92.70007,92.67307,4.398854632
0.0108,4.022,3.562,1.7,20.3994,92.690015,92.663015,4.398651102
0.0108,4.022,3.562,1.8,20.8016,92.67996,92.65296,4.398447404
0.0108,4.022,3.562,1.9,21.2038,92.669905,92.642905,4.39824354
0.0108,4.022,3.562,2,21.606,92.65985,92.63285,4.398039508
0.0207,0.01,18.968,1.5,28.983,92.475425,92.423675,4.393757243
0.0207,0.01,18.968,1.6,28.984,92.4754,92.42365,4.393756727
0.0207,0.01,18.968,1.7,28.985,92.475375,92.423625,4.393756211
0.0207,0.01,18.968,1.8,28.986,92.47535,92.4236,4.393755695
0.0207,0.01,18.968,1.9,28.987,92.475325,92.423575,4.393755179
0.0207,0.01,18.968,2,28.988,92.4753,92.42355,4.393754663
0.0111,0.589,4.688,1.5,15.5715,92.8107125,92.7829625,4.401068147
0.0111,0.589,4.688,1.6,15.6304,92.80924,92.78149,4.40103862
0.0111,0.589,4.688,1.7,15.6893,92.8077675,92.7800175,4.401009088
0.0111,0.589,4.688,1.8,15.7482,92.806295,92.778545,4.400979553
0.0111,0.589,4.688,1.9,15.8071,92.8048225,92.7770725,4.400950015
0.0111,0.589,4.688,2,15.866,92.80335,92.7756,4.400920473
0.001,4.144,8.618,1.5,24.834,92.57915,92.57665,4.396896052
0.001,4.144,8.618,1.6,25.2484,92.56879,92.56629,4.396684697
0.001,4.144,8.618,1.7,25.6628,92.55843,92.55593,4.396473165
0.001,4.144,8.618,1.8,26.0772,92.54807,92.54557,4.396261456
0.001,4.144,8.618,1.9,26.4916,92.53771,92.53521,4.39604957
0.001,4.144,8.618,2,26.906,92.52735,92.52485,4.395837508
0.0155,4.043,18.454,1.5,34.5185,92.3370375,92.2982875,4.391155828
0.0155,4.043,18.454,1.6,34.9228,92.32693,92.28818,4.390945006
0.0155,4.043,18.454,1.7,35.3271,92.3168225,92.2780725,4.390734017
0.0155,4.043,18.454,1.8,35.7314,92.306715,92.267965,4.390522861
0.0155,4.043,18.454,1.9,36.1357,92.2966075,92.2578575,4.390311537
0.0155,4.043,18.454,2,36.54,92.2865,92.24775,4.390100047
0.0266,1.464,15.867,1.5,28.063,92.498425,92.431925,4.393927502
0.0266,1.464,15.867,1.6,28.2094,92.494765,92.428265,4.393851983
0.0266,1.464,15.867,1.7,28.3558,92.491105,92.424605,4.393776441
0.0266,1.464,15.867,1.8,28.5022,92.487445,92.420945,4.393700878
0.0266,1.464,15.867,1.9,28.6486,92.483785,92.417285,4.393625293
0.0266,1.464,15.867,2,28.795,92.480125,92.413625,4.393549686
0.0181,4.107,3.043,1.5,19.2035,92.7199125,92.6746625,4.398886852
0.0181,4.107,3.043,1.6,19.6142,92.709645,92.664395,4.398679045
0.0181,4.107,3.043,1.7,20.0249,92.6993775,92.6541275,4.398471064
0.0181,4.107,3.043,1.8,20.4356,92.68911,92.64386,4.398262909
0.0181,4.107,3.043,1.9,20.8463,92.6788425,92.6335925,4.39805458
0.0181,4.107,3.043,2,21.257,92.668575,92.623325,4.397846077
